Escherichia coli 55989 chromosome, complete genome - 1..5154862
4755 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
51750..52229	+	159	218693520	folA	EC55989_0048	-	COG0262H	dihydrofolate reductase
52307..53149	-	280	218693521	apaH	EC55989_0049	-	COG0639T	diadenosine tetraphosphatase
53156..53533	-	125	218693522	apaG	EC55989_0050	-	COG2967P	ApaG protein
53536..54357	-	273	218693523	ksgA	EC55989_0051	-	COG0030J	dimethyladenosine transferase
54354..55343	-	329	218693524	pdxA	EC55989_0052	-	COG1995H	4-hydroxythreonine-4-phosphate dehydrogenase
55343..56629	-	428	218693525	surA	EC55989_0053	-	COG0760O	peptidyl-prolyl cis-trans isomerase SurA
56682..59036	-	784	218693526	imp	EC55989_0054	-	COG1452M	organic solvent tolerance protein
59291..60106	+	271	218693527	djlA	EC55989_0055	-	COG1076O	Dna-J like membrane chaperone protein
60223..60882	-	219	218693528	rluA	EC55989_0056	-	COG0564J	23S rRNA/tRNA pseudouridine synthase A
60894..63800	-	968	218693529	hepA	EC55989_0057	-	COG0553KL	ATP-dependent helicase HepA
63965..66316	-	783	218693530	polB	EC55989_0058	-	COG0417L	DNA polymerase II
66391..67086	-	231	218693531	araD	EC55989_0059	-	COG0235G	L-ribulose-5-phosphate 4-epimerase
67255..68757	-	500	218693532	araA	EC55989_0060	-	COG2160G	L-arabinose isomerase
68768..70468	-	566	218693533	araB	EC55989_0061	-	COG1069C	ribulokinase
70807..71685	+	292	218693534	araC	EC55989_0062	-	COG2207K	DNA-binding transcriptional regulator AraC
71771..72535	+	254	218693535	yabI	EC55989_0063	-	COG0586S	inner membrane protein
72649..73347	-	232	218693536	thiQ	EC55989_0064	-	COG3840H	thiamine transporter ATP-binding subunit
73331..74941	-	536	218693537	thiP	EC55989_0065	-	COG1178P	thiamine transporter membrane protein
74917..75900	-	327	218693538	tbpA	EC55989_0066	-	COG4143H	thiamine transporter substrate binding subunit
76064..77719	-	551	218693539	sgrR	EC55989_0067	-	COG4533R	transcriptional regulator SgrR
78041..79219	+	392	218693540	setA	EC55989_0068	-	COG2814G	broad specificity sugar efflux system
79268..79873	-	201	218693541	leuD	EC55989_0069	-	COG0066E	isopropylmalate isomerase small subunit
79884..81284	-	466	218693542	leuC	EC55989_0070	-	COG0065E	isopropylmalate isomerase large subunit
81287..82378	-	363	218693543	leuB	EC55989_0071	-	COG0473CE	3-isopropylmalate dehydrogenase
82378..83949	-	523	218693544	leuA	EC55989_0072	-	COG0119E	2-isopropylmalate synthase
84042..84128	-	28	218693545	leuL	EC55989_5067	-	-	leu operon leader peptide
84788..85732	+	314	218693546	leuO	EC55989_0073	-	COG0583K	leucine transcriptional activator
86050..87774	+	574	218693547	ilvI	EC55989_0074	-	COG0028EH	acetolactate synthase 3 catalytic subunit
87777..88268	+	163	218693548	ilvH	EC55989_0075	-	COG0440E	acetolactate synthase 3 regulatory subunit
88448..89452	+	334	218693549	fruR	EC55989_0076	-	COG1609K	DNA-binding transcriptional regulator FruR
90054..90512	+	152	218693550	mraZ	EC55989_0077	-	COG2001S	cell division protein MraZ
90514..91455	+	313	218693551	mraW	EC55989_0078	-	COG0275M	S-adenosyl-methyltransferase MraW
91452..91817	+	121	218693552	ftsL	EC55989_0079	-	COG3116D	cell division protein FtsL
91833..93599	+	588	218693553	ftsI	EC55989_0080	-	COG0768M	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
93586..95073	+	495	218693554	murE	EC55989_0081	-	COG0769M	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
95070..96428	+	452	218693555	murF	EC55989_0082	-	COG0770M	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
96422..97504	+	360	218693556	mraY	EC55989_0083	-	COG0472M	phospho-N-acetylmuramoyl-pentapeptide-transferase
97507..98823	+	438	218693557	murD	EC55989_0084	-	COG0771M	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
98823..100067	+	414	218693558	ftsW	EC55989_0085	-	COG0772D	cell division protein FtsW
100064..101131	+	355	218693559	murG	EC55989_0086	-	COG0707M	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
101185..102660	+	491	218693560	murC	EC55989_0087	-	COG0773M	UDP-N-acetylmuramate--L-alanine ligase
102653..103573	+	306	218693561	ddl	EC55989_0088	-	COG1181M	D-alanine--D-alanine ligase
103575..104405	+	276	218693562	ftsQ	EC55989_0089	-	COG1589M	cell division protein FtsQ
104402..105664	+	420	218693563	ftsA	EC55989_0090	-	COG0849D	cell division protein FtsA
105725..106876	+	383	218693564	ftsZ	EC55989_0091	-	COG0206D	cell division protein FtsZ
106977..107894	+	305	218693565	lpxC	EC55989_0092	-	COG0774M	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
108125..108637	+	170	218693566	secM	EC55989_0093	-	-	SecA regulator SecM
108699..111404	+	901	218693567	secA	EC55989_0094	-	COG0653U	preprotein translocase subunit SecA
111464..111853	+	129	218693568	mutT	EC55989_0095	-	COG1051F	nucleoside triphosphate pyrophosphohydrolase
112160..112903	-	247	218693569	yacF	EC55989_0096	-	COG4582S	hypothetical protein
112903..113523	-	206	218693570	coaE	EC55989_0097	-	COG0237H	dephospho-CoA kinase
113748..114791	+	347	218693571	guaC	EC55989_0098	-	COG0516F	guanosine 5'-monophosphate oxidoreductase
114826..116028	-	400	218693572	hofC	EC55989_0099	-	COG1459NU	type IV pilin biogenesis protein
116018..117403	-	461	218693573	hofB	EC55989_0100	-	COG2804NU	hypothetical protein
117413..117853	-	146	218693574	ppdD	EC55989_0101	-	COG4969NU	major pilin subunit
118056..118949	-	297	218693575	nadC	EC55989_0102	-	COG0157H	quinolinate phosphoribosyltransferase
119037..119588	+	183	218693576	ampD	EC55989_0103	-	COG3023V	N-acetyl-anhydromuranmyl-L-alanine amidase
119585..120439	+	284	218693577	ampE	EC55989_0104	-	COG3725V	regulatory protein AmpE
120482..121855	-	457	218693578	aroP	EC55989_0105	-	COG1113E	aromatic amino acid transporter
122396..123160	+	254	218693579	pdhR	EC55989_0106	-	COG2186K	transcriptional regulator PdhR
123321..125984	+	887	218693580	aceE	EC55989_0107	-	COG2609C	pyruvate dehydrogenase subunit E1
125999..127891	+	630	218693581	aceF	EC55989_0108	-	COG0508C	dihydrolipoamide acetyltransferase
128216..129640	+	474	218693582	lpd	EC55989_0109	-	COG1249C	dihydrolipoamide dehydrogenase
129711..131468	-	585	218693583	yacH	EC55989_0110	-	COG4372S	hypothetical protein
131823..134420	+	865	218693584	acnB	EC55989_0111	-	COG1049C	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
134596..134958	+	120	218693585	yacL	EC55989_0112	-	COG3112S	hypothetical protein
134996..135790	-	264	218693586	speD	EC55989_0113	-	COG1586E	S-adenosylmethionine decarboxylase
135806..136672	-	288	218693587	speE	EC55989_0114	-	COG0421E	spermidine synthase
136778..137296	-	172	218693588	yacC	EC55989_0115	-	-	hypothetical protein
137291..138841	+	516	218693589	cueO	EC55989_0116	-	COG2132Q	multicopper oxidase
138888..141278	-	796	218693590	gcd	EC55989_0117	-	COG4993G	glucose dehydrogenase
141484..142020	+	178	218693591	hpt	EC55989_0118	-	COG0634F	hypoxanthine phosphoribosyltransferase
142061..142723	-	220	218693592	can	EC55989_0119	-	COG0288P	carbonic anhydrase
142832..143758	+	308	218693593	yadG	EC55989_0120	-	COG1131V	transporter subunit: ATP-binding component of ABC superfamily
143755..144525	+	256	218693594	yadH	EC55989_0122	-	COG1682GM	transporter subunit: membrane component of ABC superfamily
144630..145070	+	146	218693595	yadI	EC55989_0123	-	COG2893G	PTS Enzyme IIA
145134..146363	+	409	218693596	yadE	EC55989_0124	-	COG0726G	polysaccharide deacetylase
146367..146747	-	126	218693597	panD	EC55989_0125	-	COG0853H	aspartate alpha-decarboxylase
147021..147923	+	300	218693598	yadD	EC55989_0126	-	COG5464S	transposase
147997..148848	-	283	218693599	panC	EC55989_0127	-	COG0414H	pantoate--beta-alanine ligase
148860..149654	-	264	218693600	panB	EC55989_0128	-	COG0413H	3-methyl-2-oxobutanoate hydroxymethyltransferase
149767..151041	-	424	218693601	-	EC55989_0129	-	COG3539NU	fimbrial-like adhesin protein
151094..151690	-	198	218693602	yadK	EC55989_0130	-	COG3539NU	fimbrial-like adhesin protein
151717..152319	-	200	218693603	yadL	EC55989_0131	-	COG3539NU	fimbrial-like adhesin protein
152334..152903	-	189	218693604	yadM	EC55989_0132	-	COG3539NU	fimbrial-like adhesin protein
152920..155520	-	866	218693605	htrE	EC55989_0133	-	COG3188NU	outer membrane usher protein
155555..156295	-	246	218693606	ecpD	EC55989_0134	-	COG3121NU	chaperone protein EcpD
156400..156984	-	194	218693607	yadN	EC55989_0135	-	COG3539NU	fimbrial-like adhesin protein
157354..157833	-	159	218693608	folK	EC55989_0136	-	COG0801H	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
157830..159248	-	472	218693609	pcnB	EC55989_0137	-	COG0617J	poly(A) polymerase
159287..160213	-	308	218693610	yadB	EC55989_0138	-	COG0008J	glutamyl-Q tRNA(Asp) synthetase
160250..160705	-	151	218693611	dksA	EC55989_0139	-	COG1734T	RNA polymerase-binding transcription factor
160883..161587	-	234	218693612	sfsA	EC55989_0140	-	COG1489R	sugar fermentation stimulation protein A
161602..162132	-	176	218693613	ligT	EC55989_0141	-	COG1514J	2'-5' RNA ligase
162206..164635	+	809	218693614	hrpB	EC55989_0142	-	COG1643L	ATP-dependent RNA helicase HrpB
164831..167365	+	844	218693615	mrcB	EC55989_0143	-	COG0744M	penicillin-binding protein 1b
167585..169828	+	747	218693616	fhuA	EC55989_0144	-	COG1629P	ferrichrome outer membrane transporter
169879..170676	+	265	218693617	fhuC	EC55989_0145	-	COG1120PH	iron-hydroxamate transporter ATP-binding subunit
170676..171566	+	296	218693618	fhuD	EC55989_0146	-	COG0614P	iron-hydroxamate transporter substrate-binding subunit
171563..173545	+	660	218693619	fhuB	EC55989_0147	-	COG0609P	iron-hydroxamate transporter permease subunit
173580..174860	-	426	218693620	hemL	EC55989_0148	-	COG0001H	glutamate-1-semialdehyde aminotransferase
175085..176506	+	473	218693621	clcA	EC55989_0149	-	COG0038P	chloride channel protein
176588..176932	+	114	218693622	yadR	EC55989_0151	-	COG0316S	iron-sulfur cluster insertion protein ErpA
176979..177602	-	207	218693623	yadS	EC55989_0152	-	COG2860S	hypothetical protein
177640..178440	-	266	218693624	btuF	EC55989_0153	-	COG0614P	vitamin B12-transporter protein BtuF
178433..179131	-	232	218693625	pfs	EC55989_0154	-	COG0775F	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
179215..180732	+	505	218693626	dgt	EC55989_0155	-	COG0232F	deoxyguanosinetriphosphate triphosphohydrolase
180862..182286	+	474	218693627	degP	EC55989_0156	-	COG0265O	serine endoprotease
182441..183598	+	385	218693628	cdaR	EC55989_0157	-	COG3835KT	carbohydrate diacid transcriptional activator CdaR
183687..184073	-	128	218693629	yaeH	EC55989_0158	-	-	hypothetical protein
184388..185212	-	274	218693630	dapD	EC55989_0159	-	COG2171E	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase
185243..187915	-	890	218693631	glnD	EC55989_0160	-	COG2844O	PII uridylyl-transferase
187977..188771	-	264	218693632	map	EC55989_0161	-	COG0024J	methionine aminopeptidase
188771..188992	-	73	218693633	-	EC55989_0162	-	-	hypothetical protein
189139..189864	+	241	218693634	rpsB	EC55989_0163	-	COG0052J	30S ribosomal protein S2
190122..190973	+	283	218693635	tsf	EC55989_0164	-	COG0264J	elongation factor Ts
191120..191845	+	241	218693636	pyrH	EC55989_0165	-	COG0528F	uridylate kinase
192137..192694	+	185	218693637	frr	EC55989_0166	-	COG0233J	ribosome recycling factor
192786..193982	+	398	218693638	dxr	EC55989_0167	-	COG0743I	1-deoxy-D-xylulose 5-phosphate reductoisomerase
194168..194929	+	253	218693639	ispU	EC55989_0168	-	COG0020I	undecaprenyl pyrophosphate synthase
194942..195799	+	285	218693640	cdsA	EC55989_0169	-	COG0575I	CDP-diglyceride synthase
195811..197163	+	450	218693641	yaeL	EC55989_0170	-	COG0750M	zinc metallopeptidase RseP
197193..199625	+	810	218693642	yaeT	EC55989_0171	-	COG4775M	outer membrane protein assembly factor YaeT
199747..200232	+	161	218693643	hlpA	EC55989_0172	-	COG2825M	periplasmic chaperone
200236..201261	+	341	218693644	lpxD	EC55989_0173	-	COG1044M	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
201366..201821	+	151	218693645	fabZ	EC55989_0174	-	COG0764I	(3R)-hydroxymyristoyl-ACP dehydratase
201825..202613	+	262	218693646	lpxA	EC55989_0175	-	COG1043M	UDP-N-acetylglucosamine acyltransferase
202613..203761	+	382	218693647	lpxB	EC55989_0176	-	COG0763M	lipid-A-disaccharide synthase
203758..204354	+	198	218693648	rnhB	EC55989_0177	-	COG0164L	ribonuclease HII
204391..207873	+	1160	218693649	dnaE	EC55989_0178	-	COG0587L	DNA polymerase III subunit alpha
207886..208845	+	319	218693650	accA	EC55989_0179	-	COG0825I	acetyl-CoA carboxylase carboxyltransferase subunit alpha
208944..211085	+	713	218693651	ldcC	EC55989_0180	-	COG1982E	lysine decarboxylase 2, constitutive
211142..211531	+	129	218693652	yaeR	EC55989_0181	-	COG0346E	hypothetical protein
211596..212894	+	432	218693653	tilS	EC55989_0182	-	COG0037D	tRNA(Ile)-lysidine synthetase
212943..213197	-	84	218693654	rof	EC55989_0183	-	COG4568K	Rho-binding antiterminator
213190..213390	-	66	218693655	yaeP	EC55989_0184	-	-	hypothetical protein
213556..214101	+	181	218693656	yaeQ	EC55989_0185	-	COG4681S	hypothetical protein
214098..214520	+	140	218693657	yaeJ	EC55989_0186	-	COG1186J	peptidyl-tRNA hydrolase domain-containing protein
214534..215244	+	236	218693658	nlpE	EC55989_0187	-	COG3015MP	lipoprotein involved with copper homeostasis and adhesion
215494..216474	+	326	218693659	-	EC55989_0189	-	COG3547L	transposase, IS110 family
217554..219272	-	572	218693660	proS	EC55989_0192	-	COG0442J	prolyl-tRNA synthetase
219384..220091	-	235	218693661	yaeB	EC55989_0193	-	COG1720S	hypothetical protein
220088..220492	-	134	218693662	rcsF	EC55989_0194	-	-	outer membrane lipoprotein
220610..221425	-	271	218693663	metQ	EC55989_0195	-	COG1464P	DL-methionine transporter substrate-binding subunit
221465..222118	-	217	218693664	metI	EC55989_0196	-	COG2011P	DL-methionine transporter permease
222111..223142	-	343	218693665	metN	EC55989_0197	-	COG1135P	DL-methionine transporter ATP-binding subunit
223330..223902	+	190	218693666	gmhB	EC55989_0198	-	COG0241E	D,D-heptose 1,7-bisphosphate phosphatase
229475..229750	+	91	218693667	-	EC55989_0204	-	-	hypothetical protein
229800..230603	+	267	218693668	dkgB	EC55989_0205	-	COG0656R	2,5-diketo-D-gluconate reductase B
230714..231922	+	402	218693669	-	EC55989_0206	-	-	transposase, IS4 family, IS10L
231938..232852	-	304	218693670	yafC	EC55989_0207	-	COG0583K	DNA-binding transcriptional regulator
233093..233893	+	266	218693671	yafD	EC55989_0208	-	COG3021S	hypothetical protein
233971..234741	+	256	218693672	yafE	EC55989_0209	-	COG2226H	S-adenosyl-L-methionine-dependent methyltransferase
234789..236147	-	452	218693673	mltD	EC55989_0210	-	COG0741M	membrane-bound lytic murein transglycosylase D
236219..236974	-	251	218693674	gloB	EC55989_0211	-	COG0491R	hydroxyacylglutathione hydrolase
237008..237730	+	240	218693675	yafS	EC55989_0212	-	COG2226H	S-adenosyl-L-methionine-dependent methyltransferase
237727..238194	-	155	218693676	rnhA	EC55989_0213	-	COG0328L	ribonuclease H
238259..238990	+	243	218693677	dnaQ	EC55989_0214	-	COG0847L	DNA polymerase III subunit epsilon
239526..240311	+	261	218693678	yafT	EC55989_0216	-	-	aminopeptidase
240937..241866	-	309	218693679	yafU	EC55989_0217	-	-	hypothetical protein
241895..242377	-	160	218693680	-	EC55989_0218	-	COG3157S	hypothetical protein
242401..243843	-	480	218693681	-	EC55989_0219	-	COG3515S	hypothetical protein
243764..247288	-	1174	218693682	-	EC55989_0220	-	COG3523S	IcmF-like protein
247307..248788	-	493	218693683	-	EC55989_0221	-	COG3515S	hypothetical protein
248727..249470	-	247	218693684	-	EC55989_0222	-	-	hypothetical protein
249467..252340	-	957	218693685	-	EC55989_0223	-	COG0542O	ATP-dependent Clp proteinase Aec27 ATP-binding chain, with chaperone activity
252235..252996	-	253	218693686	-	EC55989_0224	-	COG3455S	membrane protein Aec26
253001..254332	-	443	218693687	-	EC55989_0225	-	COG3522S	hypothetical protein
254335..254859	-	174	218693688	-	EC55989_0226	-	COG3521S	hypothetical protein
254856..256157	-	433	218693689	-	EC55989_0227	-	COG3456T	hypothetical protein
256161..257249	-	362	218693690	-	EC55989_0228	-	COG3520S	hypothetical protein
257207..259057	-	616	218693691	-	EC55989_0229	-	COG3519S	hypothetical protein
259061..259474	-	137	218693692	-	EC55989_0230	-	COG3518S	hypothetical protein
259481..260956	-	491	218693693	-	EC55989_0231	-	COG3517S	hypothetical protein
261007..261231	-	74	218693694	-	EC55989_0232	-	COG3517S	hypothetical protein
261266..261766	-	166	218693695	-	EC55989_0233	-	COG3516S	hypothetical protein
262193..262336	+	47	218693696	-	EC55989_0234	-	-	hypothetical protein
262463..262981	+	172	218693697	-	EC55989_0235	-	COG3157S	hypothetical protein
263191..265332	+	713	218693698	-	EC55989_0236	-	COG3501S	hypothetical protein
269055..269537	+	160	218693699	ydcD	EC55989_0239	-	-	hypothetical protein
269718..270464	+	248	218693700	yncI	EC55989_0240	-	COG5433L	hypothetical protein
270508..270708	+	66	218693701	yncM	EC55989_0241	-	COG5433L	hypothetical protein
271022..272083	+	353	218693702	yhhI	EC55989_0242	-	COG5433L	transposase
272125..272895	-	256	218693703	yafV	EC55989_0243	-	COG0388R	hypothetical protein
273049..273522	+	157	218693704	ivy	EC55989_0244	-	-	C-lysozyme inhibitor
273565..276009	-	814	218693705	fadE	EC55989_0245	-	COG1960I	acyl-CoA dehydrogenase
276249..276827	+	192	218693706	gmhA	EC55989_0246	-	COG0279G	phosphoheptose isomerase
277033..277800	+	255	218693707	yafJ	EC55989_0247	-	COG0121R	class-II glutamine amidotransferase
277771..278511	-	246	218693708	yafK	EC55989_0248	-	COG3034S	hypothetical protein
278667..278945	-	92	218693709	yafQ	EC55989_0249	-	COG3041S	toxin of the YafQ-DinJ toxin-antitoxin system
278948..279208	-	86	218693710	dinJ	EC55989_0250	-	COG3077L	antitoxin of YafQ-DinJ toxin-antitoxin system
279418..280167	+	249	218693711	yafL	EC55989_0251	-	COG0791M	hydrolase
280224..280580	-	118	218693712	-	EC55989_0252	-	COG4226S	hypothetical protein
280573..280872	-	99	218693713	-	EC55989_0253	-	-	hypothetical protein
280956..282695	-	579	218693714	fhiA	EC55989_0254	-	COG1298NU	flagellar system protein
282535..283425	+	296	218693715	mbhA	EC55989_0255	-	COG1360N	hypothetical protein
283496..284551	+	351	218693716	dinB	EC55989_0256	-	COG0389L	DNA polymerase IV
284903..286111	-	402	218693717	-	EC55989_0258	-	-	transposase, IS4 family, IS10L
286557..287723	+	388	218693718	-	EC55989_0259	-	COG1690S	hypothetical protein
287834..288334	+	166	218693719	prfH	EC55989_0260	-	COG1186J	peptide chain release factor-like protein
288391..289848	-	485	218693720	pepD	EC55989_0261	-	COG2195E	aminoacyl-histidine dipeptidase
290109..290567	+	152	218693721	gpt	EC55989_0262	-	COG0503F	xanthine-guanine phosphoribosyltransferase
290659..291903	+	414	218693722	frsA	EC55989_0263	-	COG0412Q	fermentation/respiration switch protein
291961..292362	+	133	218693723	crl	EC55989_0264	-	COG3850T	DNA-binding transcriptional regulator Crl
292401..293456	-	351	218693724	phoE	EC55989_0265	-	COG3203M	outer membrane phosphoporin protein E
293744..294847	+	367	218693725	proB	EC55989_0266	-	COG0263E	gamma-glutamyl kinase
294859..296112	+	417	218693726	proA	EC55989_0267	-	COG0014E	gamma-glutamyl phosphate reductase
296469..297683	+	404	218693727	-	EC55989_0268	-	COG0582L	prophage CPS-53 integrase
297806..298609	+	267	218693728	-	EC55989_0269	-	-	hypothetical protein
298804..299001	+	65	218693729	-	EC55989_0270	-	COG3311K	Phage transcriptional regulator, AlpA
299080..299880	+	266	218693730	-	EC55989_0271	-	COG3561K	AntA/AntB antirepressor
299873..301459	+	528	218693731	-	EC55989_0272	-	-	hypothetical protein
300598..300903	-	101	218693732	-	EC55989_0273	-	-	hypothetical protein
301452..301817	+	121	218693733	-	EC55989_0274	-	-	hypothetical protein
301810..302010	+	66	218693734	-	EC55989_0275	-	-	hypothetical protein
302015..302305	+	96	218693735	-	EC55989_0276	-	-	hypothetical protein
302302..304434	+	710	218693736	-	EC55989_0277	-	COG5519L	hypothetical protein
304893..305450	+	185	218693737	-	EC55989_0278	-	COG3109T	Activator of ProP osmoprotectant transporter
305447..305734	+	95	218693738	-	EC55989_0279	-	-	Protein perC (Protein bfpW)
305869..307011	+	380	218693739	-	EC55989_0280	-	-	hypothetical protein
307076..307399	+	107	218693740	-	EC55989_0281	-	-	hypothetical protein
307842..308114	+	90	218693741	-	EC55989_0283	-	-	hypothetical protein
308196..308741	+	181	218693742	-	EC55989_0284	-	-	hypothetical protein
309345..310340	+	331	218693743	-	EC55989_0285	-	COG4637R	hypothetical protein
310333..311313	+	326	218693744	-	EC55989_0286	-	-	hypothetical protein
311773..312183	-	136	218693745	yagP	EC55989_0287	-	COG0583K	transcriptional regulator
312162..313118	-	318	218693746	yagQ	EC55989_0288	-	COG1975O	hypothetical protein
313128..315326	-	732	218693747	yagR	EC55989_0289	-	COG1529C	oxidoreductase with molybdenum-binding domain
315323..316279	-	318	218693748	yagS	EC55989_0290	-	COG1319C	oxidoreductase with FAD-binding domain
316276..316965	-	229	218693749	yagT	EC55989_0291	-	COG2080C	xanthine dehydrogenase iron-sulfur-binding subunit
317383..317997	+	204	218693750	yagU	EC55989_0292	-	COG3477S	inner membrane protein
318887..319597	-	236	218693751	yagV	EC55989_0293	-	COG3121NU	hypothetical protein
319566..321209	-	547	218693752	yagW	EC55989_0294	-	-	surface or protein
321199..323724	-	841	218693753	yagX	EC55989_0295	-	COG3188NU	hypothetical protein
323750..324418	-	222	218693754	yagY	EC55989_0296	-	-	hypothetical protein
324476..325063	-	195	218693755	ecpA	EC55989_0297	-	-	common pilus ECP
325138..325728	-	196	218693756	ykgK	EC55989_0298	-	COG2771K	transcriptional regulator
326503..326730	+	75	218693757	ykgL	EC55989_0299	-	-	hypothetical protein
326905..327168	-	87	218693758	rpmE2	EC55989_0300	-	COG0254J	50S ribosomal protein L31
328749..333002	+	1417	218693759	-	EC55989_0302	-	-	adhesin
333123..334013	-	296	218693760	ykgA	EC55989_0303	-	COG4977K	Putatve transcriptional regulator ykgA
334570..335163	-	197	218693761	ykgB	EC55989_0304	-	COG3059S	inner membrane protein
335175..335411	-	78	218693762	ykgI	EC55989_0305	-	-	hypothetical protein
335520..336845	-	441	218693763	ykgC	EC55989_0306	-	COG1249C	pyridine nucleotide-disulfide oxidoreductase
337071..337925	+	284	218693764	ykgD	EC55989_0307	-	COG2207K	AraC-type DNA-binding transcriptional regulator
338452..339171	+	239	218693765	ykgE	EC55989_0308	-	COG0247C	hydroxyacid oxidoreductase (Fe-S centre)
